Altium Designer Pick and Place Locations
C:\Users\thoma\Documents\Altium\UltraZOhm\Optical Daughter\Project Outputs for Digital_Optical_Daughter_12Tx_1vXX\Pick Place\PickPlace_Digital_Optical_Daughter_12Tx_1vXX_1v01.txt

========================================================================================================================
File Design Information:

Date:       10.06.20
Time:       12:33
Revision:   1e748aa3fd33b7cf63446807858ad3da0c016492
Variant:    NoVariation
Units used: mm

Designator   Footprint          Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Rotation Layer       Comment                    
LOGO1        Logo_Partners_1    -66.9290     -47.4980     -54.1005  61.0108   -66.9290  -47.4980  0        TopLayer    "Project Logo"             
Laser1       VOLL_LASER         -66.9290     -47.4980     -42.9245  51.8668   -66.9290  -47.4980  0        TopLayer    Voll_Laser                 
D2F          WL-SMCW_0603       19.4310      74.0740      19.4310   74.0740   19.4310   73.2740   90       TopLayer    150060GS75000              
D2E          WL-SMCW_0603       19.4470      63.8810      19.4470   63.8810   19.4470   63.0810   90       TopLayer    150060GS75000              
D2D          WL-SMCW_0603       19.4023      53.6985      19.4023   53.6985   19.4023   52.8985   90       TopLayer    150060GS75000              
D2C          WL-SMCW_0603       19.3930      43.5610      19.3930   43.5610   19.3930   42.7610   90       TopLayer    150060GS75000              
D2B          WL-SMCW_0603       19.3920      33.4010      19.3920   33.4010   19.3920   32.6010   90       TopLayer    150060GS75000              
D2A          WL-SMCW_0603       19.3930      23.2410      19.3930   23.2410   19.3930   22.4410   90       TopLayer    150060GS75000              
D1F          WL-SMCW_0603       19.5580      69.2480      19.5580   69.2480   19.5580   70.0480   270      TopLayer    150060GS75000              
D1E          WL-SMCW_0603       19.5740      59.0550      19.5740   59.0550   19.5740   59.8550   270      TopLayer    150060GS75000              
D1D          WL-SMCW_0603       19.5293      48.8725      19.5293   48.8725   19.5293   49.6725   270      TopLayer    150060GS75000              
D1C          WL-SMCW_0603       19.5200      38.7350      19.5200   38.7350   19.5200   39.5350   270      TopLayer    150060GS75000              
D1B          WL-SMCW_0603       19.5190      28.5750      19.5190   28.5750   19.5190   29.3750   270      TopLayer    150060GS75000              
D1A          WL-SMCW_0603       19.5200      18.4150      19.5200   18.4150   19.5200   19.2150   270      TopLayer    150060GS75000              
C2F          CAP_2012X06N       22.1500      71.1530      22.1500   71.1530   23.0750   71.1530   180      TopLayer    4.7µF                      
C2E          CAP_2012X06N       22.1660      60.9600      22.1660   60.9600   23.0910   60.9600   180      TopLayer    4.7µF                      
C2D          CAP_2012X06N       22.1213      50.7775      22.1213   50.7775   23.0463   50.7775   180      TopLayer    4.7µF                      
C2C          CAP_2012X06N       22.1120      40.6400      22.1120   40.6400   23.0370   40.6400   180      TopLayer    4.7µF                      
C2B          CAP_2012X06N       22.1110      30.4800      22.1110   30.4800   23.0360   30.4800   180      TopLayer    4.7µF                      
C2A          CAP_2012X06N       22.1120      20.3200      22.1120   20.3200   23.0370   20.3200   180      TopLayer    4.7µF                      
C1F          C_0603(1608)100_L  10.9220      72.4230      10.9220   72.4230   10.9220   73.1230   270      TopLayer    100nF                      
C1E          C_0603(1608)100_L  10.9380      62.2300      10.9380   62.2300   10.9380   62.9300   270      TopLayer    100nF                      
C1D          C_0603(1608)100_L  10.8933      52.0475      10.8933   52.0475   10.8933   52.7475   270      TopLayer    100nF                      
C1C          C_0603(1608)100_L  10.8840      41.9100      10.8840   41.9100   10.8840   42.6100   270      TopLayer    100nF                      
C1B          C_0603(1608)100_L  10.8830      31.7500      10.8830   31.7500   10.8830   32.4500   270      TopLayer    100nF                      
C1A          C_0603(1608)100_L  10.8840      21.5900      10.8840   21.5900   10.8840   22.2900   270      TopLayer    100nF                      
